,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
13,2020-04-02,96.11922998402095,11.864662959040112,179.7109008131716,96.11922998402095,96.11922998402095,-3.844267505537923,-3.844267505537923,-3.844267505537923,-3.844267505537923,-3.844267505537923,-3.844267505537923,0.0,0.0,0.0,92.27496247848302
14,2020-04-03,97.91471842563138,5.8313454558721425,180.91740325675008,97.91471842563138,97.91471842563138,-7.762427094646062,-7.762427094646062,-7.762427094646062,-7.762427094646062,-7.762427094646062,-7.762427094646062,0.0,0.0,0.0,90.15229133098532
15,2020-04-06,103.30118375046263,11.715402890106839,184.86875685226366,103.30118375046263,103.30118375046263,-5.8651720591177225,-5.8651720591177225,-5.8651720591177225,-5.8651720591177225,-5.8651720591177225,-5.8651720591177225,0.0,0.0,0.0,97.4360116913449
16,2020-04-07,105.09667219207304,17.51382143675523,188.5636237781825,105.09667219207304,105.09667219207304,-2.385019415298175,-2.385019415298175,-2.385019415298175,-2.385019415298175,-2.385019415298175,-2.385019415298175,0.0,0.0,0.0,102.71165277677487
17,2020-04-08,106.89216066856308,21.09827239848866,188.36452373796592,106.89216066856308,106.89216066856308,-3.495170770009243,-3.495170770009243,-3.495170770009243,-3.495170770009243,-3.495170770009243,-3.495170770009243,0.0,0.0,0.0,103.39698989855384
18,2020-04-09,108.68764914505311,21.27804948671892,193.32510412163631,108.68764914505311,108.68764914505311,-3.844267505545593,-3.844267505545593,-3.844267505545593,-3.844267505545593,-3.844267505545593,-3.844267505545593,0.0,0.0,0.0,104.84338163950753
19,2020-04-13,115.86960305101323,29.930521612583245,195.7679421907436,115.86960305101323,115.86960305101323,-5.8651720591107335,-5.8651720591107335,-5.8651720591107335,-5.8651720591107335,-5.8651720591107335,-5.8651720591107335,0.0,0.0,0.0,110.0044309919025
20,2020-04-14,117.66509152750325,31.14208092262324,199.57970034136866,117.66509152750325,117.66509152750325,-2.3850194152903827,-2.3850194152903827,-2.3850194152903827,-2.3850194152903827,-2.3850194152903827,-2.3850194152903827,0.0,0.0,0.0,115.28007211221286
21,2020-04-15,119.4605800039933,28.76785911325332,201.45745690016955,119.4605800039933,119.4605800039933,-3.4951707700104357,-3.4951707700104357,-3.4951707700104357,-3.4951707700104357,-3.4951707700104357,-3.4951707700104357,0.0,0.0,0.0,115.96540923398287
22,2020-04-16,121.25606848048332,29.414614611366705,202.5319176413409,121.25606848048332,121.25606848048332,-3.844267505522113,-3.844267505522113,-3.844267505522113,-3.844267505522113,-3.844267505522113,-3.844267505522113,0.0,0.0,0.0,117.41180097496121
