,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-17,93.44463636892999,87.39927771327899,100.8812887929932,93.44463636892999,93.44463636892999,0.7442439242696985,0.7442439242696985,0.7442439242696985,0.7442439242696985,0.7442439242696985,0.7442439242696985,0.0,0.0,0.0,94.18888029319969
1,2020-03-18,93.90106656671956,88.47285636179282,101.80676841270544,93.90106656671956,93.90106656671956,1.0462268615653245,1.0462268615653245,1.0462268615653245,1.0462268615653245,1.0462268615653245,1.0462268615653245,0.0,0.0,0.0,94.9472934282849
2,2020-03-19,94.35749676450912,88.47637667791228,102.11488171839667,94.35749676450912,94.35749676450912,0.9260393940568156,0.9260393940568156,0.9260393940568156,0.9260393940568156,0.9260393940568156,0.9260393940568156,0.0,0.0,0.0,95.28353615856594
3,2020-03-20,94.81392696229868,87.81554615179456,101.7135184357762,94.81392696229868,94.81392696229868,0.02431524970983828,0.02431524970983828,0.02431524970983828,0.02431524970983828,0.02431524970983828,0.02431524970983828,0.0,0.0,0.0,94.83824221200852
4,2020-03-23,96.18321755566735,90.09862568352696,103.84386075134364,96.18321755566735,96.18321755566735,0.4602929338189896,0.4602929338189896,0.4602929338189896,0.4602929338189896,0.4602929338189896,0.4602929338189896,0.0,0.0,0.0,96.64351048948635
5,2020-03-24,96.63964775345693,90.70825768560812,104.42031895744682,96.63964775345693,96.63964775345693,0.7442439242700548,0.7442439242700548,0.7442439242700548,0.7442439242700548,0.7442439242700548,0.7442439242700548,0.0,0.0,0.0,97.38389167772698
6,2020-03-25,97.09607795124647,91.55687420586938,104.69321022037353,97.09607795124647,97.09607795124647,1.0462268615647434,1.0462268615647434,1.0462268615647434,1.0462268615647434,1.0462268615647434,1.0462268615647434,0.0,0.0,0.0,98.14230481281122
7,2020-03-26,97.55250814903604,91.81549814283221,105.35726275461217,97.55250814903604,97.55250814903604,0.9260393940582613,0.9260393940582613,0.9260393940582613,0.9260393940582613,0.9260393940582613,0.9260393940582613,0.0,0.0,0.0,98.47854754309431
8,2020-03-27,98.0089383468256,90.84776053075892,104.4599721529098,98.0089383468256,98.0089383468256,0.024315249708213128,0.024315249708213128,0.024315249708213128,0.024315249708213128,0.024315249708213128,0.024315249708213128,0.0,0.0,0.0,98.03325359653381
9,2020-03-30,99.37822894135876,92.91406143412401,107.13571931074704,99.37822894135876,99.37822894135876,0.46029293381978226,0.46029293381978226,0.46029293381978226,0.46029293381978226,0.46029293381978226,0.46029293381978226,0.0,0.0,0.0,99.83852187517854
10,2020-03-31,99.83465913953647,93.64883506590797,107.95560824347378,99.83465913953647,99.83465913953647,0.7442439242698047,0.7442439242698047,0.7442439242698047,0.7442439242698047,0.7442439242698047,0.7442439242698047,0.0,0.0,0.0,100.57890306380628
11,2020-04-01,100.2910893377142,94.74281258937559,107.72144938972838,100.2910893377142,100.2910893377142,1.0462268615646297,1.0462268615646297,1.0462268615646297,1.0462268615646297,1.0462268615646297,1.0462268615646297,0.0,0.0,0.0,101.33731619927883
12,2020-04-02,100.74751953589191,95.05884203806183,108.39147516420076,100.74751953589191,100.74751953589191,0.9260393940571321,0.9260393940571321,0.9260393940571321,0.9260393940571321,0.9260393940571321,0.9260393940571321,0.0,0.0,0.0,101.67355892994904
13,2020-04-03,101.20394973406961,94.50653908904468,107.6848425265436,101.20394973406961,101.20394973406961,0.024315249708035447,0.024315249708035447,0.024315249708035447,0.024315249708035447,0.024315249708035447,0.024315249708035447,0.0,0.0,0.0,101.22826498377765
14,2020-04-06,102.57324032860276,95.93112783935446,109.84340659668138,102.57324032860276,102.57324032860276,0.4602929338212936,0.4602929338212936,0.4602929338212936,0.4602929338212936,0.4602929338212936,0.4602929338212936,0.0,0.0,0.0,103.03353326242406
15,2020-04-07,103.02967052678049,97.41570491313016,110.25913219231369,103.02967052678049,103.02967052678049,0.7442439242698762,0.7442439242698762,0.7442439242698762,0.7442439242698762,0.7442439242698762,0.7442439242698762,0.0,0.0,0.0,103.77391445105037
16,2020-04-08,103.4861007249582,97.1801584008014,111.18821560818469,103.4861007249582,103.4861007249582,1.0462268615653887,1.0462268615653887,1.0462268615653887,1.0462268615653887,1.0462268615653887,1.0462268615653887,0.0,0.0,0.0,104.53232758652359
17,2020-04-09,103.94253087339003,98.63735386486589,112.0633680294555,103.94253087339003,103.94253087339003,0.9260393940572905,0.9260393940572905,0.9260393940572905,0.9260393940572905,0.9260393940572905,0.9260393940572905,0.0,0.0,0.0,104.86857026744731
18,2020-04-13,105.76825146711728,99.96110280770075,113.24694337384042,105.76825146711728,105.76825146711728,0.46029293382208625,0.46029293382208625,0.46029293382208625,0.46029293382208625,0.46029293382208625,0.46029293382208625,0.0,0.0,0.0,106.22854440093937
19,2020-04-14,106.22468161554909,100.26250273385389,113.52555150544157,106.22468161554909,106.22468161554909,0.744243924269948,0.744243924269948,0.744243924269948,0.744243924269948,0.744243924269948,0.744243924269948,0.0,0.0,0.0,106.96892553981904
20,2020-04-15,106.6811117639809,100.84391527983651,114.33640784351094,106.6811117639809,106.6811117639809,1.0462268615652746,1.0462268615652746,1.0462268615652746,1.0462268615652746,1.0462268615652746,1.0462268615652746,0.0,0.0,0.0,107.72733862554617
